#
Not MAP,MAPwindow,isRPM,Sensor,MAP ADC,RPM,Tooth No,MAP
Flag,Flag,Flag,#,ADC,rpm,tooth,kPa
MARK 000
1.000,NaN,1.000,NaN,NaN,1368.000,NaN,NaN
0.000,0.000,1.000,0.000,307.000,1368.000,NaN,85.565
0.000,0.000,1.000,0.000,302.000,1368.000,NaN,84.334
0.000,0.000,1.000,0.000,308.000,1368.000,NaN,85.811
0.000,0.000,1.000,0.000,307.000,1368.000,NaN,85.565
0.000,0.000,1.000,0.000,312.000,1368.000,NaN,86.795
0.000,0.000,1.000,0.000,317.000,1368.000,NaN,88.026
0.000,0.000,1.000,0.000,321.000,1368.000,NaN,89.011
0.000,0.000,1.000,0.000,320.000,1368.000,NaN,88.764
0.000,0.000,1.000,0.000,321.000,1368.000,NaN,89.011
0.000,0.000,1.000,0.000,319.000,1368.000,NaN,88.518
0.000,0.000,1.000,0.000,315.000,1368.000,NaN,87.534
0.000,0.000,1.000,0.000,307.000,1368.000,NaN,85.565
0.000,0.000,1.000,0.000,303.000,1368.000,NaN,84.580
0.000,0.000,1.000,0.000,296.000,1368.000,NaN,82.857
0.000,0.000,1.000,0.000,290.000,1368.000,NaN,81.380
1.000,0.000,0.000,0.000,290.000,1368.000,2.000,81.380
0.000,0.000,0.000,0.000,284.000,1368.000,2.000,79.903
0.000,0.000,0.000,0.000,281.000,1368.000,2.000,79.165
0.000,0.000,0.000,0.000,280.000,1368.000,2.000,78.919
0.000,0.000,0.000,0.000,276.000,1368.000,2.000,77.934
0.000,0.000,0.000,0.000,273.000,1368.000,2.000,77.196
0.000,0.000,0.000,0.000,275.000,1368.000,2.000,77.688
0.000,0.000,0.000,0.000,273.000,1368.000,2.000,77.196
0.000,0.000,0.000,0.000,275.000,1368.000,2.000,77.688
0.000,0.000,0.000,0.000,276.000,1368.000,2.000,77.934
0.000,0.000,0.000,0.000,274.000,1368.000,2.000,77.442
0.000,0.000,0.000,0.000,271.000,1368.000,2.000,76.704
0.000,0.000,0.000,0.000,272.000,1368.000,2.000,76.950
0.000,0.000,0.000,0.000,276.000,1368.000,2.000,77.934
0.000,0.000,0.000,0.000,273.000,1368.000,2.000,77.196
0.000,0.000,0.000,0.000,272.000,1368.000,2.000,76.950
0.000,0.000,0.000,0.000,271.000,1368.000,2.000,76.704
0.000,0.000,0.000,0.000,267.000,1368.000,2.000,75.719
0.000,0.000,0.000,0.000,263.000,1368.000,2.000,74.735
0.000,0.000,0.000,0.000,260.000,1368.000,2.000,73.996
0.000,0.000,0.000,0.000,256.000,1368.000,2.000,73.012
0.000,0.000,0.000,0.000,257.000,1368.000,2.000,73.258
0.000,0.000,0.000,0.000,256.000,1368.000,2.000,73.012
0.000,0.000,0.000,0.000,257.000,1368.000,2.000,73.258
0.000,0.000,0.000,0.000,259.000,1368.000,2.000,73.750
0.000,0.000,0.000,0.000,257.000,1368.000,2.000,73.258
0.000,0.000,0.000,0.000,258.000,1368.000,2.000,73.504
0.000,0.000,0.000,0.000,256.000,1368.000,2.000,73.012
0.000,0.000,0.000,0.000,260.000,1368.000,2.000,73.996
0.000,0.000,0.000,0.000,260.000,1368.000,2.000,73.996
0.000,0.000,0.000,0.000,259.000,1368.000,2.000,73.750
0.000,0.000,0.000,0.000,259.000,1368.000,2.000,73.750
0.000,0.000,0.000,0.000,259.000,1368.000,2.000,73.750
0.000,0.000,0.000,0.000,258.000,1368.000,2.000,73.504
0.000,0.000,0.000,0.000,256.000,1368.000,2.000,73.012
0.000,0.000,0.000,0.000,256.000,1368.000,2.000,73.012
0.000,0.000,0.000,0.000,254.000,1368.000,2.000,72.519
0.000,0.000,0.000,0.000,253.000,1368.000,2.000,72.273
0.000,0.000,0.000,0.000,255.000,1368.000,2.000,72.765
0.000,0.000,0.000,0.000,255.000,1368.000,2.000,72.765
0.000,0.000,0.000,0.000,257.000,1368.000,2.000,73.258
0.000,0.000,0.000,0.000,258.000,1368.000,2.000,73.504
0.000,0.000,0.000,0.000,259.000,1368.000,2.000,73.750
0.000,0.000,0.000,0.000,261.000,1368.000,2.000,74.242
0.000,0.000,0.000,0.000,264.000,1368.000,2.000,74.981
0.000,0.000,0.000,0.000,264.000,1368.000,2.000,74.981
0.000,0.000,0.000,0.000,264.000,1368.000,2.000,74.981
0.000,0.000,0.000,0.000,266.000,1368.000,2.000,75.473
0.000,0.000,0.000,0.000,269.000,1368.000,2.000,76.211
0.000,0.000,0.000,0.000,269.000,1368.000,2.000,76.211
0.000,0.000,0.000,0.000,271.000,1368.000,2.000,76.704
0.000,0.000,0.000,0.000,271.000,1368.000,2.000,76.704
0.000,0.000,0.000,0.000,272.000,1368.000,2.000,76.950
0.000,0.000,0.000,0.000,274.000,1368.000,2.000,77.442
0.000,0.000,0.000,0.000,276.000,1368.000,2.000,77.934
0.000,0.000,0.000,0.000,277.000,1368.000,2.000,78.180
0.000,0.000,0.000,0.000,280.000,1368.000,2.000,78.919
0.000,0.000,0.000,0.000,281.000,1368.000,2.000,79.165
0.000,0.000,0.000,0.000,285.000,1368.000,2.000,80.150
0.000,0.000,0.000,0.000,286.000,1368.000,2.000,80.396
0.000,0.000,0.000,0.000,292.000,1368.000,2.000,81.873
0.000,0.000,0.000,0.000,292.000,1368.000,2.000,81.873
0.000,0.000,0.000,0.000,293.000,1368.000,2.000,82.119
0.000,0.000,0.000,0.000,297.000,1368.000,2.000,83.103
0.000,0.000,0.000,0.000,299.000,1368.000,2.000,83.596
0.000,0.000,0.000,0.000,303.000,1368.000,2.000,84.580
0.000,0.000,0.000,0.000,302.000,1368.000,2.000,84.334
0.000,0.000,0.000,0.000,308.000,1368.000,2.000,85.811
0.000,0.000,0.000,0.000,308.000,1368.000,2.000,85.811
0.000,0.000,0.000,0.000,312.000,1368.000,2.000,86.795
0.000,0.000,0.000,0.000,316.000,1368.000,2.000,87.780
0.000,0.000,0.000,0.000,321.000,1368.000,2.000,89.011
0.000,0.000,0.000,0.000,322.000,1368.000,2.000,89.257
0.000,0.000,0.000,0.000,324.000,1368.000,2.000,89.749
0.000,0.000,0.000,0.000,327.000,1368.000,2.000,90.487
0.000,0.000,0.000,0.000,332.000,1368.000,2.000,91.718
0.000,0.000,0.000,0.000,336.000,1368.000,2.000,92.703
0.000,0.000,0.000,0.000,340.000,1368.000,2.000,93.687
0.000,0.000,0.000,0.000,348.000,1368.000,2.000,95.656
0.000,0.000,0.000,0.000,347.000,1368.000,2.000,95.410
0.000,0.000,0.000,0.000,353.000,1368.000,2.000,96.887
0.000,0.000,0.000,0.000,355.000,1368.000,2.000,97.379
0.000,0.000,0.000,0.000,359.000,1368.000,2.000,98.364
0.000,0.000,0.000,0.000,359.000,1368.000,2.000,98.364
0.000,0.000,0.000,0.000,363.000,1368.000,2.000,99.348
0.000,0.000,0.000,0.000,366.000,1368.000,2.000,100.087
0.000,0.000,0.000,0.000,368.000,1368.000,2.000,100.579
0.000,0.000,0.000,0.000,369.000,1368.000,2.000,100.825
0.000,0.000,0.000,0.000,376.000,1368.000,2.000,102.548
0.000,0.000,0.000,0.000,376.000,1368.000,2.000,102.548
0.000,0.000,0.000,0.000,379.000,1368.000,2.000,103.287
0.000,0.000,0.000,0.000,383.000,1368.000,2.000,104.271
0.000,0.000,0.000,0.000,387.000,1368.000,2.000,105.256
0.000,0.000,0.000,0.000,390.000,1368.000,2.000,105.994
0.000,0.000,0.000,0.000,392.000,1368.000,2.000,106.486
0.000,0.000,0.000,0.000,398.000,1368.000,2.000,107.963
0.000,0.000,0.000,0.000,398.000,1368.000,2.000,107.963
0.000,0.000,0.000,0.000,400.000,1368.000,2.000,108.456
0.000,0.000,0.000,0.000,391.000,1368.000,2.000,106.240
0.000,0.000,0.000,0.000,382.000,1368.000,2.000,104.025
0.000,0.000,0.000,0.000,376.000,1368.000,2.000,102.548
0.000,0.000,0.000,0.000,365.000,1368.000,2.000,99.841
0.000,0.000,0.000,0.000,345.000,1368.000,2.000,94.918
0.000,0.000,0.000,0.000,336.000,1368.000,2.000,92.703
0.000,0.000,0.000,0.000,323.000,1368.000,2.000,89.503
0.000,0.000,0.000,0.000,305.000,1368.000,2.000,85.072
0.000,0.000,0.000,0.000,295.000,1368.000,2.000,82.611
0.000,0.000,0.000,0.000,292.000,1368.000,2.000,81.873
0.000,0.000,0.000,0.000,290.000,1368.000,2.000,81.380
0.000,0.000,0.000,0.000,294.000,1368.000,2.000,82.365
0.000,0.000,0.000,0.000,296.000,1368.000,2.000,82.857
0.000,0.000,0.000,0.000,300.000,1368.000,2.000,83.842
