//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-11-2022
//--  Time: 17:57
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 4.0     AFR:22.35, 9.5
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	22.35	224 	0.000
1	22.33	223 	0.005
2	22.32	223 	0.010
3	22.30	223 	0.015
4	22.29	223 	0.020
5	22.27	223 	0.024
6	22.26	223 	0.029
7	22.24	222 	0.034
8	22.22	222 	0.039
9	22.21	222 	0.044
10	22.19	222 	0.049
11	22.18	222 	0.054
12	22.16	222 	0.059
13	22.15	221 	0.063
14	22.13	221 	0.068
15	22.11	221 	0.073
16	22.10	221 	0.078
17	22.08	221 	0.083
18	22.07	221 	0.088
19	22.05	221 	0.093
20	22.04	220 	0.098
21	22.02	220 	0.103
22	22.00	220 	0.107
23	21.99	220 	0.112
24	21.97	220 	0.117
25	21.96	220 	0.122
26	21.94	219 	0.127
27	21.93	219 	0.132
28	21.91	219 	0.137
29	21.90	219 	0.142
30	21.88	219 	0.146
31	21.86	219 	0.151
32	21.85	218 	0.156
33	21.83	218 	0.161
34	21.82	218 	0.166
35	21.80	218 	0.171
36	21.79	218 	0.176
37	21.77	218 	0.181
38	21.75	218 	0.186
39	21.74	217 	0.190
40	21.72	217 	0.195
41	21.71	217 	0.200
42	21.69	217 	0.205
43	21.68	217 	0.210
44	21.66	217 	0.215
45	21.64	216 	0.220
46	21.63	216 	0.225
47	21.61	216 	0.229
48	21.60	216 	0.234
49	21.58	216 	0.239
50	21.57	216 	0.244
51	21.55	216 	0.249
52	21.53	215 	0.254
53	21.52	215 	0.259
54	21.50	215 	0.264
55	21.49	215 	0.269
56	21.47	215 	0.273
57	21.46	215 	0.278
58	21.44	214 	0.283
59	21.42	214 	0.288
60	21.41	214 	0.293
61	21.39	214 	0.298
62	21.38	214 	0.303
63	21.36	214 	0.308
64	21.35	213 	0.313
65	21.33	213 	0.317
66	21.31	213 	0.322
67	21.30	213 	0.327
68	21.28	213 	0.332
69	21.27	213 	0.337
70	21.25	213 	0.342
71	21.24	212 	0.347
72	21.22	212 	0.352
73	21.20	212 	0.356
74	21.19	212 	0.361
75	21.17	212 	0.366
76	21.16	212 	0.371
77	21.14	211 	0.376
78	21.13	211 	0.381
79	21.11	211 	0.386
80	21.10	211 	0.391
81	21.08	211 	0.396
82	21.06	211 	0.400
83	21.05	210 	0.405
84	21.03	210 	0.410
85	21.02	210 	0.415
86	21.00	210 	0.420
87	20.99	210 	0.425
88	20.97	210 	0.430
89	20.95	210 	0.435
90	20.94	209 	0.439
91	20.92	209 	0.444
92	20.91	209 	0.449
93	20.89	209 	0.454
94	20.88	209 	0.459
95	20.86	209 	0.464
96	20.84	208 	0.469
97	20.83	208 	0.474
98	20.81	208 	0.479
99	20.80	208 	0.483
100	20.78	208 	0.488
101	20.77	208 	0.493
102	20.75	208 	0.498
103	20.73	207 	0.503
104	20.72	207 	0.508
105	20.70	207 	0.513
106	20.69	207 	0.518
107	20.67	207 	0.522
108	20.66	207 	0.527
109	20.64	206 	0.532
110	20.62	206 	0.537
111	20.61	206 	0.542
112	20.59	206 	0.547
113	20.58	206 	0.552
114	20.56	206 	0.557
115	20.55	205 	0.562
116	20.53	205 	0.566
117	20.51	205 	0.571
118	20.50	205 	0.576
119	20.48	205 	0.581
120	20.47	205 	0.586
121	20.45	205 	0.591
122	20.44	204 	0.596
123	20.42	204 	0.601
124	20.40	204 	0.605
125	20.39	204 	0.610
126	20.37	204 	0.615
127	20.36	204 	0.620
128	20.34	203 	0.625
129	20.33	203 	0.630
130	20.31	203 	0.635
131	20.30	203 	0.640
132	20.28	203 	0.645
133	20.26	203 	0.649
134	20.25	202 	0.654
135	20.23	202 	0.659
136	20.22	202 	0.664
137	20.20	202 	0.669
138	20.19	202 	0.674
139	20.17	202 	0.679
140	20.15	202 	0.684
141	20.14	201 	0.688
142	20.12	201 	0.693
143	20.11	201 	0.698
144	20.09	201 	0.703
145	20.08	201 	0.708
146	20.06	201 	0.713
147	20.04	200 	0.718
148	20.03	200 	0.723
149	20.01	200 	0.728
150	20.00	200 	0.732
151	19.98	200 	0.737
152	19.97	200 	0.742
153	19.95	200 	0.747
154	19.93	199 	0.752
155	19.92	199 	0.757
156	19.90	199 	0.762
157	19.89	199 	0.767
158	19.87	199 	0.771
159	19.86	199 	0.776
160	19.84	198 	0.781
161	19.82	198 	0.786
162	19.81	198 	0.791
163	19.79	198 	0.796
164	19.78	198 	0.801
165	19.76	198 	0.806
166	19.75	197 	0.811
167	19.73	197 	0.815
168	19.71	197 	0.820
169	19.70	197 	0.825
170	19.68	197 	0.830
171	19.67	197 	0.835
172	19.65	197 	0.840
173	19.64	196 	0.845
174	19.62	196 	0.850
175	19.60	196 	0.854
176	19.59	196 	0.859
177	19.57	196 	0.864
178	19.56	196 	0.869
179	19.54	195 	0.874
180	19.53	195 	0.879
181	19.51	195 	0.884
182	19.50	195 	0.889
183	19.48	195 	0.894
184	19.46	195 	0.898
185	19.45	194 	0.903
186	19.43	194 	0.908
187	19.42	194 	0.913
188	19.40	194 	0.918
189	19.39	194 	0.923
190	19.37	194 	0.928
191	19.35	194 	0.933
192	19.34	193 	0.938
193	19.32	193 	0.942
194	19.31	193 	0.947
195	19.29	193 	0.952
196	19.28	193 	0.957
197	19.26	193 	0.962
198	19.24	192 	0.967
199	19.23	192 	0.972
200	19.21	192 	0.977
201	19.20	192 	0.981
202	19.18	192 	0.986
203	19.17	192 	0.991
204	19.15	192 	0.996
205	19.13	191 	1.001
206	19.12	191 	1.006
207	19.10	191 	1.011
208	19.09	191 	1.016
209	19.07	191 	1.021
210	19.06	191 	1.025
211	19.04	190 	1.030
212	19.02	190 	1.035
213	19.01	190 	1.040
214	18.99	190 	1.045
215	18.98	190 	1.050
216	18.96	190 	1.055
217	18.95	189 	1.060
218	18.93	189 	1.064
219	18.91	189 	1.069
220	18.90	189 	1.074
221	18.88	189 	1.079
222	18.87	189 	1.084
223	18.85	189 	1.089
224	18.84	188 	1.094
225	18.82	188 	1.099
226	18.80	188 	1.104
227	18.79	188 	1.108
228	18.77	188 	1.113
229	18.76	188 	1.118
230	18.74	187 	1.123
231	18.73	187 	1.128
232	18.71	187 	1.133
233	18.70	187 	1.138
234	18.68	187 	1.143
235	18.66	187 	1.147
236	18.65	186 	1.152
237	18.63	186 	1.157
238	18.62	186 	1.162
239	18.60	186 	1.167
240	18.59	186 	1.172
241	18.57	186 	1.177
242	18.55	186 	1.182
243	18.54	185 	1.187
244	18.52	185 	1.191
245	18.51	185 	1.196
246	18.49	185 	1.201
247	18.48	185 	1.206
248	18.46	185 	1.211
249	18.44	184 	1.216
250	18.43	184 	1.221
251	18.41	184 	1.226
252	18.40	184 	1.230
253	18.38	184 	1.235
254	18.37	184 	1.240
255	18.35	184 	1.245
256	18.33	183 	1.250
257	18.32	183 	1.255
258	18.30	183 	1.260
259	18.29	183 	1.265
260	18.27	183 	1.270
261	18.26	183 	1.274
262	18.24	182 	1.279
263	18.22	182 	1.284
264	18.21	182 	1.289
265	18.19	182 	1.294
266	18.18	182 	1.299
267	18.16	182 	1.304
268	18.15	181 	1.309
269	18.13	181 	1.313
270	18.11	181 	1.318
271	18.10	181 	1.323
272	18.08	181 	1.328
273	18.07	181 	1.333
274	18.05	181 	1.338
275	18.04	180 	1.343
276	18.02	180 	1.348
277	18.00	180 	1.353
278	17.99	180 	1.357
279	17.97	180 	1.362
280	17.96	180 	1.367
281	17.94	179 	1.372
282	17.93	179 	1.377
283	17.91	179 	1.382
284	17.90	179 	1.387
285	17.88	179 	1.392
286	17.86	179 	1.396
287	17.85	178 	1.401
288	17.83	178 	1.406
289	17.82	178 	1.411
290	17.80	178 	1.416
291	17.79	178 	1.421
292	17.77	178 	1.426
293	17.75	178 	1.431
294	17.74	177 	1.436
295	17.72	177 	1.440
296	17.71	177 	1.445
297	17.69	177 	1.450
298	17.68	177 	1.455
299	17.66	177 	1.460
300	17.64	176 	1.465
301	17.63	176 	1.470
302	17.61	176 	1.475
303	17.60	176 	1.479
304	17.58	176 	1.484
305	17.57	176 	1.489
306	17.55	176 	1.494
307	17.53	175 	1.499
308	17.52	175 	1.504
309	17.50	175 	1.509
310	17.49	175 	1.514
311	17.47	175 	1.519
312	17.46	175 	1.523
313	17.44	174 	1.528
314	17.42	174 	1.533
315	17.41	174 	1.538
316	17.39	174 	1.543
317	17.38	174 	1.548
318	17.36	174 	1.553
319	17.35	173 	1.558
320	17.33	173 	1.563
321	17.31	173 	1.567
322	17.30	173 	1.572
323	17.28	173 	1.577
324	17.27	173 	1.582
325	17.25	173 	1.587
326	17.24	172 	1.592
327	17.22	172 	1.597
328	17.20	172 	1.602
329	17.19	172 	1.606
330	17.17	172 	1.611
331	17.16	172 	1.616
332	17.14	171 	1.621
333	17.13	171 	1.626
334	17.11	171 	1.631
335	17.10	171 	1.636
336	17.08	171 	1.641
337	17.06	171 	1.646
338	17.05	170 	1.650
339	17.03	170 	1.655
340	17.02	170 	1.660
341	17.00	170 	1.665
342	16.99	170 	1.670
343	16.97	170 	1.675
344	16.95	170 	1.680
345	16.94	169 	1.685
346	16.92	169 	1.689
347	16.91	169 	1.694
348	16.89	169 	1.699
349	16.88	169 	1.704
350	16.86	169 	1.709
351	16.84	168 	1.714
352	16.83	168 	1.719
353	16.81	168 	1.724
354	16.80	168 	1.729
355	16.78	168 	1.733
356	16.77	168 	1.738
357	16.75	168 	1.743
358	16.73	167 	1.748
359	16.72	167 	1.753
360	16.70	167 	1.758
361	16.69	167 	1.763
362	16.67	167 	1.768
363	16.66	167 	1.772
364	16.64	166 	1.777
365	16.62	166 	1.782
366	16.61	166 	1.787
367	16.59	166 	1.792
368	16.58	166 	1.797
369	16.56	166 	1.802
370	16.55	165 	1.807
371	16.53	165 	1.812
372	16.51	165 	1.816
373	16.50	165 	1.821
374	16.48	165 	1.826
375	16.47	165 	1.831
376	16.45	165 	1.836
377	16.44	164 	1.841
378	16.42	164 	1.846
379	16.40	164 	1.851
380	16.39	164 	1.855
381	16.37	164 	1.860
382	16.36	164 	1.865
383	16.34	163 	1.870
384	16.33	163 	1.875
385	16.31	163 	1.880
386	16.30	163 	1.885
387	16.28	163 	1.890
388	16.26	163 	1.895
389	16.25	162 	1.899
390	16.23	162 	1.904
391	16.22	162 	1.909
392	16.20	162 	1.914
393	16.19	162 	1.919
394	16.17	162 	1.924
395	16.15	162 	1.929
396	16.14	161 	1.934
397	16.12	161 	1.938
398	16.11	161 	1.943
399	16.09	161 	1.948
400	16.08	161 	1.953
401	16.06	161 	1.958
402	16.04	160 	1.963
403	16.03	160 	1.968
404	16.01	160 	1.973
405	16.00	160 	1.978
406	15.98	160 	1.982
407	15.97	160 	1.987
408	15.95	160 	1.992
409	15.93	159 	1.997
410	15.92	159 	2.002
411	15.90	159 	2.007
412	15.89	159 	2.012
413	15.87	159 	2.017
414	15.86	159 	2.021
415	15.84	158 	2.026
416	15.82	158 	2.031
417	15.81	158 	2.036
418	15.79	158 	2.041
419	15.78	158 	2.046
420	15.76	158 	2.051
421	15.75	157 	2.056
422	15.73	157 	2.061
423	15.71	157 	2.065
424	15.70	157 	2.070
425	15.68	157 	2.075
426	15.67	157 	2.080
427	15.65	157 	2.085
428	15.64	156 	2.090
429	15.62	156 	2.095
430	15.61	156 	2.100
431	15.59	156 	2.104
432	15.57	156 	2.109
433	15.56	156 	2.114
434	15.54	155 	2.119
435	15.53	155 	2.124
436	15.51	155 	2.129
437	15.50	155 	2.134
438	15.48	155 	2.139
439	15.46	155 	2.144
440	15.45	154 	2.148
441	15.43	154 	2.153
442	15.42	154 	2.158
443	15.40	154 	2.163
444	15.39	154 	2.168
445	15.37	154 	2.173
446	15.35	154 	2.178
447	15.34	153 	2.183
448	15.32	153 	2.188
449	15.31	153 	2.192
450	15.29	153 	2.197
451	15.28	153 	2.202
452	15.26	153 	2.207
453	15.24	152 	2.212
454	15.23	152 	2.217
455	15.21	152 	2.222
456	15.20	152 	2.227
457	15.18	152 	2.231
458	15.17	152 	2.236
459	15.15	152 	2.241
460	15.13	151 	2.246
461	15.12	151 	2.251
462	15.10	151 	2.256
463	15.09	151 	2.261
464	15.07	151 	2.266
465	15.06	151 	2.271
466	15.04	150 	2.275
467	15.02	150 	2.280
468	15.01	150 	2.285
469	14.99	150 	2.290
470	14.98	150 	2.295
471	14.96	150 	2.300
472	14.95	149 	2.305
473	14.93	149 	2.310
474	14.91	149 	2.314
475	14.90	149 	2.319
476	14.88	149 	2.324
477	14.87	149 	2.329
478	14.85	149 	2.334
479	14.84	148 	2.339
480	14.82	148 	2.344
481	14.81	148 	2.349
482	14.79	148 	2.354
483	14.77	148 	2.358
484	14.76	148 	2.363
485	14.74	147 	2.368
486	14.73	147 	2.373
487	14.71	147 	2.378
488	14.70	147 	2.383
489	14.68	147 	2.388
490	14.66	147 	2.393
491	14.65	146 	2.397
492	14.63	146 	2.402
493	14.62	146 	2.407
494	14.60	146 	2.412
495	14.59	146 	2.417
496	14.57	146 	2.422
497	14.55	146 	2.427
498	14.54	145 	2.432
499	14.52	145 	2.437
500	14.51	145 	2.441
501	14.49	145 	2.446
502	14.48	145 	2.451
503	14.46	145 	2.456
504	14.44	144 	2.461
505	14.43	144 	2.466
506	14.41	144 	2.471
507	14.40	144 	2.476
508	14.38	144 	2.480
509	14.37	144 	2.485
510	14.35	144 	2.490
511	14.33	143 	2.495
512	14.32	143 	2.500
513	14.30	143 	2.505
514	14.29	143 	2.510
515	14.27	143 	2.515
516	14.26	143 	2.520
517	14.24	142 	2.524
518	14.22	142 	2.529
519	14.21	142 	2.534
520	14.19	142 	2.539
521	14.18	142 	2.544
522	14.16	142 	2.549
523	14.15	141 	2.554
524	14.13	141 	2.559
525	14.11	141 	2.563
526	14.10	141 	2.568
527	14.08	141 	2.573
528	14.07	141 	2.578
529	14.05	141 	2.583
530	14.04	140 	2.588
531	14.02	140 	2.593
532	14.01	140 	2.598
533	13.99	140 	2.603
534	13.97	140 	2.607
535	13.96	140 	2.612
536	13.94	139 	2.617
537	13.93	139 	2.622
538	13.91	139 	2.627
539	13.90	139 	2.632
540	13.88	139 	2.637
541	13.86	139 	2.642
542	13.85	138 	2.646
543	13.83	138 	2.651
544	13.82	138 	2.656
545	13.80	138 	2.661
546	13.79	138 	2.666
547	13.77	138 	2.671
548	13.75	138 	2.676
549	13.74	137 	2.681
550	13.72	137 	2.686
551	13.71	137 	2.690
552	13.69	137 	2.695
553	13.68	137 	2.700
554	13.66	137 	2.705
555	13.64	136 	2.710
556	13.63	136 	2.715
557	13.61	136 	2.720
558	13.60	136 	2.725
559	13.58	136 	2.729
560	13.57	136 	2.734
561	13.55	136 	2.739
562	13.53	135 	2.744
563	13.52	135 	2.749
564	13.50	135 	2.754
565	13.49	135 	2.759
566	13.47	135 	2.764
567	13.46	135 	2.769
568	13.44	134 	2.773
569	13.42	134 	2.778
570	13.41	134 	2.783
