//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-20-2022
//--  Time: 21:28
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 9.1(C), 	Resistance 1: 3810 Ohms 
//--    Temperature2: 23.5(C), 	Resistance 2: 2150 Ohms 
//--    Temperature3: 41(C), 	Resistance 3: 1110 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	346.50	3465 	0.039
9	337.78	3378 	0.044
10	330.09	3301 	0.049
11	323.21	3232 	0.054
12	317.00	3170 	0.059
13	311.34	3113 	0.063
14	306.14	3061 	0.068
15	301.34	3013 	0.073
16	296.88	2969 	0.078
17	292.72	2927 	0.083
18	288.82	2888 	0.088
19	285.16	2852 	0.093
20	281.70	2817 	0.098
21	278.42	2784 	0.103
22	275.31	2753 	0.107
23	272.35	2724 	0.112
24	269.53	2695 	0.117
25	266.83	2668 	0.122
26	264.25	2643 	0.127
27	261.78	2618 	0.132
28	259.40	2594 	0.137
29	257.11	2571 	0.142
30	254.91	2549 	0.146
31	252.78	2528 	0.151
32	250.73	2507 	0.156
33	248.74	2487 	0.161
34	246.82	2468 	0.166
35	244.96	2450 	0.171
36	243.15	2432 	0.176
37	241.40	2414 	0.181
38	239.70	2397 	0.186
39	238.05	2380 	0.190
40	236.44	2364 	0.195
41	234.87	2349 	0.200
42	233.34	2333 	0.205
43	231.85	2319 	0.210
44	230.40	2304 	0.215
45	228.98	2290 	0.220
46	227.60	2276 	0.225
47	226.24	2262 	0.229
48	224.92	2249 	0.234
49	223.62	2236 	0.239
50	222.36	2224 	0.244
51	221.12	2211 	0.249
52	219.90	2199 	0.254
53	218.71	2187 	0.259
54	217.54	2175 	0.264
55	216.40	2164 	0.269
56	215.27	2153 	0.273
57	214.17	2142 	0.278
58	213.09	2131 	0.283
59	212.03	2120 	0.288
60	210.98	2110 	0.293
61	209.96	2100 	0.298
62	208.95	2089 	0.303
63	207.95	2080 	0.308
64	206.98	2070 	0.313
65	206.02	2060 	0.317
66	205.07	2051 	0.322
67	204.14	2041 	0.327
68	203.23	2032 	0.332
69	202.32	2023 	0.337
70	201.44	2014 	0.342
71	200.56	2006 	0.347
72	199.70	1997 	0.352
73	198.84	1988 	0.356
74	198.01	1980 	0.361
75	197.18	1972 	0.366
76	196.36	1964 	0.371
77	195.56	1956 	0.376
78	194.76	1948 	0.381
79	193.98	1940 	0.386
80	193.20	1932 	0.391
81	192.44	1924 	0.396
82	191.68	1917 	0.400
83	190.94	1909 	0.405
84	190.20	1902 	0.410
85	189.47	1895 	0.415
86	188.75	1888 	0.420
87	188.04	1880 	0.425
88	187.34	1873 	0.430
89	186.64	1866 	0.435
90	185.96	1860 	0.439
91	185.28	1853 	0.444
92	184.61	1846 	0.449
93	183.94	1839 	0.454
94	183.28	1833 	0.459
95	182.63	1826 	0.464
96	181.99	1820 	0.469
97	181.35	1814 	0.474
98	180.72	1807 	0.479
